('WK00000056', 'K3S0001539', 'BONTANG', 'STARBORN ENERGY BONTANG PTE. LTD.', 'EKSPLOITASI', 'PSC', '2003-12-30', '2033-12-29', 'AKTIF'),
('WK00000057', 'K3S0001552', 'BRANTAS', 'MINARAK BRANTAS GAS INC.', 'EKSPLOITASI', 'GS', '1990-04-23', '2040-04-22', 'AKTIF'),
('WK00000078', 'K3S0000347', 'CEPU', 'EXXONMOBIL CEPU LTD.', 'EKSPLOITASI', 'PSC', '2005-09-17', '2035-09-16', 'AKTIF'),
('WK00000082', 'K3S0001759', 'CORRIDOR', 'MEDCO E&P GRISSIK LTD.', 'EKSPLOITASI', 'PSC', '1983-12-20', '2043-12-19', 'AKTIF'),
('WK00000096', 'K3S0001098', 'EAST KALIMANTAN & ATTAKA', 'PT PERTAMINA HULU KALIMANTAN TIMUR', 'EKSPLOITASI', 'GS', '2018-10-25', '2038-10-24', 'AKTIF'),
('WK00000121', 'K3S0000919', 'GMB BANGKANAI IV', 'PT BANGKANAI JAYA PERKASA', 'EKSPLORASI', 'PSC', '2011-12-19', '2041-12-18', 'AKTIF'),
('WK00000122', 'K3S0001164', 'GMB BARITO', 'PT TRANSASIA ENERGY RESOURCES', 'EKSPLORASI', 'PSC', '2009-11-30', '2039-11-29', 'AKTIF'),
('WK00000133', 'K3S0000990', 'GMB KAPUAS II', 'PT KAPUAS CBM INDONESIA', 'EKSPLORASI', 'PSC', '2011-04-01', '2031-03-31', 'AKTIF'),
('WK00000135', 'K3S0001138', 'GMB KOTABU', 'PT SATUI BASIN GAS', 'EKSPLORASI', 'PSC', '2009-08-04', '2039-08-03', 'AKTIF'),
('WK00000145', 'K3S0001167', 'GMB MUARA ENIM', 'PT TRISULA CBM ENERGI', 'EKSPLORASI', 'PSC', '2009-11-30', '2039-11-29', 'AKTIF'),
('WK00000149', 'K3S0000268', 'GMB MURALIM', 'DART ENERGY (MURALIM) PTE. LTD.', 'EKSPLORASI', 'GS', '2010-12-03', '2040-12-02', 'AKTIF'),
('WK00000151', 'K3S0000949', 'GMB OGAN KOMERING II', 'PT EAST OGAN METHANE', 'EKSPLORASI', 'PSC', '2009-08-04', '2039-08-03', 'AKTIF'),
('WK00000156', 'K3S0001171', 'GMB SANGATTA II', 'PT VISI MULTI ARTHA', 'EKSPLORASI', 'PSC', '2009-05-05', '2039-05-04', 'AKTIF'),
('WK00000164', 'K3S0000269', 'GMB TANJUNG ENIM', 'DART ENERGY (TANJUNG ENIM) PTE. LTD.', 'EKSPLOITASI', 'GS', '2009-08-04', '2039-08-03', 'AKTIF'),
('WK00000182', 'K3S0001309', 'KAKAP', 'STAR ENERGY (KAKAP) LTD.', 'EKSPLOITASI', 'PSC', '1975-03-22', '2028-03-21', 'AKTIF'),
('WK00000193', 'K3S0001032', 'KARANG AGUNG', 'PT ODIRA ENERGY KARANG AGUNG', 'EKSPLOITASI', 'PSC', '2007-01-16', '2037-01-15', 'AKTIF'),
('WK00000199', 'K3S0000861', 'KEPALA BURUNG', 'PETROGAS (BASIN) LTD.', 'EKSPLOITASI', 'GS', '2020-10-15', '2040-10-14', 'AKTIF'),
('WK00000203', 'K3S0000819', 'KETAPANG', 'PC KETAPANG II LTD.', 'EKSPLOITASI', 'PSC', '1998-06-11', '2048-06-10', 'AKTIF'),
('WK00000206', 'K3S0000298', 'KORINCI BARU', 'EMP KORINCI BARU LTD.', 'EKSPLOITASI', 'PSC', '1997-05-15', '2027-05-14', 'AKTIF'),
('WK00000208', 'K3S0001019', 'KUALA PAMBUANG', 'PT MENTARI PAMBUANG INTERNASIONAL', 'EKSPLORASI', 'PSC', '2011-12-19', '2041-12-18', 'AKTIF'),
('WK00000218', 'K3S0001150', 'LANGGAK', 'PT SPR LANGGAK', 'EKSPLOITASI', 'PSC', '2010-04-20', '2030-04-19', 'AKTIF'),
('WK00000225', 'K3S0000989', 'LONG HUBUNG-LONG BAGUN', 'PT KALISAT ENERGI NUSANTARA', 'EKSPLORASI', 'PSC', '2010-05-18', '2040-05-17', 'AKTIF'),
('WK00000229', 'K3S0000440', 'MADURA STRAIT', 'HUSKY-CNOOC MADURA LTD.', 'EKSPLOITASI', 'PSC', '1982-10-20', '2032-10-19', 'AKTIF'),
('WK00000231', 'K3S0001099', 'MAHAKAM', 'PT PERTAMINA HULU MAHAKAM', 'EKSPLOITASI', 'PSC', '2018-01-01', '2037-12-31', 'AKTIF'),
('WK00000237', 'K3S0000977', 'MALACCA STRAIT', 'PT IMBANG TATA ALAM', 'EKSPLOITASI', 'GS', '1970-08-05', '2040-08-04', 'AKTIF'),
('WK00000264', 'K3S0000317', 'MUARA BAKAU', 'ENI MUARA BAKAU B.V.', 'EKSPLOITASI', 'PSC', '2002-12-30', '2032-12-29', 'AKTIF'),
('WK00000310', 'K3S0000882', 'NUNUKAN', 'PHE NUNUKAN CO.', 'EKSPLOITASI', 'PSC', '2004-12-12', '2034-12-11', 'AKTIF'),
('WK00000314', 'K3S0001081', 'OFFSHORE NORTH WEST JAVA', 'PT PERTAMINA HULU ENERGI OFFSHORE NORTH WEST JAVA', 'EKSPLOITASI', 'GS', '2017-01-19', '2037-01-18', 'AKTIF'),
('WK00000324', 'K3S0001357', 'PALMERAH', 'TATELY N.V.', 'EKSPLOITASI', 'PSC', '2003-12-30', '2033-12-29', 'AKTIF'),
('WK00000326', 'K3S0001168', 'PANDAN', 'PT TROPIK ENERGI PANDAN', 'EKSPLOITASI', 'PSC', '2004-12-12', '2034-12-11', 'AKTIF'),
('WK00000331', 'K3S0001436', 'PASE', 'TRIANGLE PASE INC.', 'EKSPLOITASI', 'PSC', '2012-02-24', '2032-02-23', 'AKTIF'),
('WK00000343', 'K3S0001085', 'RANDUGUNTING', 'PT PERTAMINA HULU ENERGI RANDUGUNTING', 'EKSPLOITASI', 'PSC', '2007-08-09', '2037-08-08', 'AKTIF'),
('WK00000359', 'K3S0000540', 'SAKTI', 'KRISENERGY (SAKTI) B.V.', 'EKSPLORASI', 'PSC', '2014-02-26', '2044-02-25', 'AKTIF'),
('WK00000363', 'K3S0001100', 'SANGA-SANGA', 'PT PERTAMINA HULU SANGA SANGA', 'EKSPLOITASI', 'GS', '2018-08-08', '2038-08-07', 'AKTIF'),
('WK00000374', 'K3S0001155', 'SEMAI III', 'PT SUMA SARANA', 'EKSPLORASI', 'PSC', '2008-11-13', '2038-11-12', 'AKTIF'),
('WK00000380', 'K3S0000304', 'SENGKANG', 'ENERGY EQUITY EPIC (SENGKANG) PTY. LTD.', 'EKSPLOITASI', 'GS', '1970-10-24', '2042-10-23', 'AKTIF'),
('WK00000450', 'K3S0001773', 'WAIN', 'PT INDO SINO OIL DAN GAS', 'EKSPLOITASI', 'PSC', '2007-01-16', '2037-01-15', 'AKTIF'),
('WK00000458', 'K3S0001580', 'WEST BANGKANAI', 'MEDCO ENERGI WEST BANGKANAI LTD.', 'EKSPLORASI', 'PSC', '2013-05-15', '2043-05-14', 'AKTIF'),
('WK00000463', 'K3S0001097', 'WEST MADURA OFFSHORE', 'PT PERTAMINA HULU ENERGI WEST MADURA OFFSHORE', 'EKSPLOITASI', 'PSC', '1981-05-07', '2031-05-06', 'AKTIF'),
('WK00000470', 'K3S0000677', 'WEST SALAWATI', 'MONTD''OR (SALAWATI) LTD.', 'EKSPLOITASI', 'PSC', '2003-12-30', '2033-12-29', 'AKTIF'),
('WK00000476', 'K3S0000127', 'WIRIAGAR', 'BP WIRIAGAR LTD.', 'EKSPLOITASI', 'PSC', '1993-02-27', '2055-12-31', 'AKTIF'),
('WK00000274', 'K3S0000898', 'NATUNA SEA BLOCK "A"', 'PREMIER OIL NATUNA SEA B.V.', 'EKSPLOITASI', 'PSC', '1979-10-16', '2029-10-15', 'AKTIF'),
('WK00000046', 'K3S0001009', 'BLOK "A" ACEH', 'PT MEDCO E&P MALAKA', 'EKSPLOITASI', 'PSC', '2011-09-01', '2031-09-01', 'AKTIF'),
('WK00000413', 'K3S0000632', 'SOUTH NATUNA SEA "B", 'MEDCO E&P NATUNA LTD.', 'EKSPLOITASI', 'PSC', '1968-10-16', '2028-10-15', 'AKTIF'),
('WK00000302', 'K3S0001079', 'NORTH SUMATRA OFFSHORE', 'PT PERTAMINA HULU ENERGI NORTH SUMATERA OFFSHORE', 'EKSPLOITASI', 'GS', '2018-10-17', '2038-10-16', 'AKTIF'),
('WK00000481', 'K3S0000509', 'BULA', 'KALREZ PETROLEUM (SERAM) LTD.', 'EKSPLOITASI', 'GS', '1999-11-01', '2039-10-31', 'AKTIF'),
('WK00000111', 'K3S0001858', 'GANAL', 'ENI GANAL DEEPWATER LTD.', 'EKSPLOITASI', 'PSC', '1998-02-24', '2048-02-23', 'AKTIF'),
('WK00000236', 'K3S0001857', 'MAKASSAR STRAIT', 'ENI MAKASSAR LTD.', 'EKSPLOITASI', 'PSC', '1990-01-26', '2027-12-03', 'AKTIF'),
('WK00000345', 'K3S0001855', 'RAPAK', 'ENI RAPAK DEEPWATER LTD.', 'EKSPLOITASI', 'PSC', '1997-12-04', '2047-12-03', 'AKTIF'),
('WK00000513', 'K3S0001766', 'AGUNG II', 'BP AGUNG II LTD.', 'EKSPLORASI', 'PSC', '2022-06-20', '2052-06-19', 'AKTIF'),
('WK00000050', 'K3S0001559', 'BLORA', 'TIS PETROLEUM E&P BLORA PTE. LTD.', 'EKSPLOITASI', 'PSC', '2009-11-30', '2039-11-29', 'AKTIF'),
('WK00000398', 'K3S0001362', 'SOUTH BETUNG', 'TECHWIN ENERGY SOUTH BETUNG LTD.', 'EKSPLOITASI', 'PSC', '2011-04-01', '2031-03-31', 'AKTIF'),
('WK00000088', 'K3S0001046', 'EAST AMBALAT', 'PT PERTAMINA HULU ENERGI AMBALAT TIMUR', 'EKSPLORASI', 'PSC', '2016-05-25', '2046-05-24', 'AKTIF'),
('WK00000233', 'K3S0001785', 'MAHATO', 'TEXCAL ENERGY MAHATO INC.', 'EKSPLOITASI', 'PSC', '2012-07-20', '2042-07-19', 'AKTIF'),
